Site,Trait,S,std.error,statistic,p.value,Nobs,P_FDR,No_lines,Gradient,Elevation
13,Cold tolerance,-0.461295329672177,0.253396484298984,-1.82044881541407,0.0806833537993082,27,0.664380519892428,13,Paluma,916
13,Heat tolerance,-0.017750144631057,0.269645898914835,-0.065827608365233,0.948038669220169,27,0.95974052454212,13,Paluma,916
13,Wing size,-0.199868765764814,0.265691375271426,-0.752259141120524,0.459210169172923,26,0.755965974635788,13,Paluma,916
14,Cold tolerance,-0.428478239623385,0.319910196546584,-1.33937037408869,0.192500440184268,27,0.689261290541831,13,Paluma,866
14,Heat tolerance,-0.24259826528407,0.327615813426677,-0.740496201165103,0.465897318147277,27,0.95974052454212,13,Paluma,866
14,Wing size,0.412391838415715,0.330363640979541,1.24829668662374,0.223963494537574,26,0.755965974635788,13,Paluma,866
15,Cold tolerance,0.12206821440052,0.131332960402911,0.929456048398152,0.360071759925212,32,0.717130311973947,14,Paluma,72
15,Heat tolerance,0.00742679925277388,0.133203589300922,0.0557552487267885,0.955906465501098,32,0.95974052454212,14,Paluma,72
15,Wing size,0.0353532983249664,0.139513985155772,0.253403257641112,0.801876213022024,29,0.953810821979229,13,Paluma,72
16,Cold tolerance,0.0357728013147614,0.132810987975232,0.269351217547095,0.789566670364193,31,0.936085875699759,14,Paluma,87
16,Heat tolerance,-0.0205966691012561,0.132921997860509,-0.154953050907877,0.877931791145265,31,0.95974052454212,14,Paluma,87
16,Wing size,-0.101961778177437,0.141165687472798,-0.72228443046462,0.476329444376326,29,0.755965974635788,13,Paluma,87
17,Cold tolerance,-0.317752550062503,0.246928149676557,-1.2868218972957,0.217661460171104,17,0.689261290541831,7,Paluma,656
17,Heat tolerance,-0.207103049674683,0.254647164497571,-0.813294151864232,0.428770630810355,17,0.95974052454212,7,Paluma,656
17,Wing size,-0.0371760587009239,0.232311346960896,-0.16002687422402,0.874745958902602,19,0.953810821979229,8,Paluma,656
18,Cold tolerance,-0.0480436847497158,0.257449802679117,-0.186613795193298,0.854640618752308,16,0.936085875699759,6,Paluma,653
18,Heat tolerance,-0.0812302409673961,0.256853968568433,-0.316250675121472,0.756478174935477,16,0.95974052454212,6,Paluma,653
18,Wing size,-0.0597273648566443,0.236066451922637,-0.25301081271903,0.803481849177829,18,0.953810821979229,7,Paluma,653
71,Wing size,0.0278881914509548,0.379667414639453,0.0734542664859414,0.942254749896797,20,0.953810821979229,5,Mt Edith,1105
71,Cold tolerance,0.160232704729032,0.377841490474126,0.42407387427984,0.676536833941212,20,0.856946656325535,5,Mt Edith,1105
71,Heat tolerance,-0.0194354125922716,0.379696680069195,-0.051186680348982,0.95974052454212,20,0.95974052454212,5,Mt Edith,1105
72,Cold tolerance,-0.313537914003911,0.449125669913573,-0.698107311622261,0.501020533843704,12,0.793729821931548,5,Mt Edith,1005
72,Heat tolerance,-0.225564106167708,0.454374903617605,-0.496427299069184,0.630323186808642,12,0.95974052454212,5,Mt Edith,1005
72,Wing size,-0.417452149146111,0.40244521964472,-1.03728937199115,0.321865816901642,13,0.755965974635788,6,Mt Edith,1005
73,Heat tolerance,0.172510371008322,0.166243127608256,1.03769926306268,0.313945675985824,19,0.95974052454212,5,Mt Edith,815
73,Cold tolerance,-0.102441585021629,0.169617349073515,-0.60395699839189,0.553847080549558,19,0.793729821931548,5,Mt Edith,815
73,Wing size,-0.00747118489105329,0.127748971045245,-0.0584833273405168,0.953810821979229,28,0.953810821979229,9,Mt Edith,815
74,Cold tolerance,0.168068392740622,0.0888971695796338,1.890593294875,0.0748884985751575,20,0.664380519892428,5,Mt Edith,785
74,Heat tolerance,-0.0481511871069639,0.096660105958359,-0.498149537801121,0.624410342912261,20,0.95974052454212,5,Mt Edith,785
74,Wing size,0.0832335267633123,0.0808874670622496,1.02900399513385,0.312285238785672,30,0.755965974635788,9,Mt Edith,785
75,Cold tolerance,-0.179787670133148,0.198372443780087,-0.906313733435971,0.377437006302078,19,0.717130311973947,5,Mt Edith,702
75,Wing size,-0.156859093716377,0.150182459102382,-1.04445682041632,0.304902642094103,31,0.755965974635788,11,Mt Edith,702
75,Heat tolerance,-0.120484029502064,0.200995296147748,-0.599437060524536,0.556786915589718,19,0.95974052454212,5,Mt Edith,702
76,Cold tolerance,-0.210489644913296,0.376994601680114,-0.558335965489234,0.584853553002193,17,0.793729821931548,5,Mt Edith,928
76,Heat tolerance,0.631088101133709,0.344277760569809,1.83307832631769,0.0867122345265708,17,0.600457601195767,5,Mt Edith,928
76,Wing size,-0.195033783118542,0.28884772314924,-0.675213157272398,0.506907557695593,23,0.755965974635788,10,Mt Edith,928
77,Heat tolerance,-0.0739099256778774,0.202137176223482,-0.365642416989949,0.719421007752658,18,0.95974052454212,5,Mt Edith,1020
77,Wing size,-0.308877593858569,0.162630372859807,-1.89926142593814,0.0696143555663979,26,0.755965974635788,9,Mt Edith,1020
77,Cold tolerance,-0.300817663085803,0.188534217527665,-1.59556003695542,0.130146960204053,18,0.664380519892428,5,Mt Edith,1020
78,Cold tolerance,-0.114974386234979,0.117974401488197,-0.97457062536132,0.343437966567735,19,0.717130311973947,6,Mt Edith,724
78,Heat tolerance,-0.0187129852274938,0.121140230722563,-0.154473745970903,0.879055320223845,19,0.95974052454212,6,Mt Edith,724
78,Wing size,-0.0693050569802075,0.105753535033535,-0.655345062065592,0.517239877382382,32,0.755965974635788,12,Mt Edith,724
79,Cold tolerance,-0.169796704762804,0.185670751708987,-0.914504321224149,0.372540420191406,20,0.717130311973947,5,Mt Edith,697
79,Heat tolerance,0.309273094254088,0.175389468031539,1.76335043218487,0.0948090949256474,20,0.600457601195767,5,Mt Edith,697
79,Wing size,-0.217342930240142,0.129330933999782,-1.68051775022755,0.104391689241598,29,0.755965974635788,9,Mt Edith,697
200,Cold tolerance,-0.026034111103375,0.318435617339998,-0.081756278775744,0.936085875699759,15,0.936085875699759,5,Paluma,618
200,Heat tolerance,-0.322439544753272,0.305705572938762,-1.05473885102468,0.31075366617163,15,0.95974052454212,5,Paluma,618
200,Wing size,0.271742456248447,0.295582769181993,0.919344713497601,0.373484294622255,16,0.755965974635788,6,Paluma,618
201,Cold tolerance,0.130865323656884,0.202525063407836,0.64616853566096,0.528620895761409,16,0.793729821931548,7,Paluma,357
201,Heat tolerance,0.498227609142412,0.15655318600046,3.1824814420637,0.00664815981971798,16,0.126315036574642,7,Paluma,357
201,Wing size,0.188157764859329,0.183956704047703,1.02283722592973,0.321601878469187,18,0.755965974635788,8,Paluma,357
202,Cold tolerance,0.020240901335632,0.200147633260745,0.101129856026141,0.920786782610666,17,0.936085875699759,6,Paluma,256
202,Heat tolerance,0.181656950669468,0.194644389041336,0.933276071117006,0.365458048825706,17,0.95974052454212,6,Paluma,256
202,Wing size,0.171046532067095,0.175233145705494,0.976108323447923,0.342697325001027,19,0.755965974635788,7,Paluma,256
203,Cold tolerance,-0.264905103060886,0.169932619113729,-1.55888318818647,0.139869583135248,17,0.664380519892428,6,Paluma,473
203,Heat tolerance,0.0418370521536053,0.182862571386476,0.228789586826839,0.822122433009008,17,0.95974052454212,6,Paluma,473
203,Wing size,0.032597368631956,0.170248620825096,0.191469208231911,0.850426248377686,19,0.953810821979229,7,Paluma,473
