Site,term,estimate,std.error,statistic,p.value,Gradient,Elevation,Field_H2,P_FDR,N
13,Z_MeanWS,0.646699647046497,0.209397678833594,3.08838020864797,0.0129633299288049,Paluma,916,1,0.0712220107951287,11
14,Z_MeanWS,0.282032252320606,0.295897900125934,0.953140431887396,0.36842603549853,Paluma,866,0.564064504641212,0.650679033696544,10
15,Z_MeanWS,0.466049884005639,0.176331575852361,2.64303135585797,0.0142444021590257,Paluma,72,0.932099768011278,0.0712220107951287,26
16,Z_MeanWS,0.17839832855655,0.202643081743154,0.880357360448488,0.387396613410394,Paluma,87,0.3567966571131,0.650679033696544,26
17,Z_MeanWS,0.393439420591299,0.221636516169153,1.77515613127137,0.096161014286499,Paluma,656,0.786878841182597,0.32053671428833,17
18,Z_MeanWS,0.223225112260476,0.31862399789728,0.700591021811361,0.498109628776586,Paluma,653,0.446450224520952,0.650679033696544,13
73,Z_MeanWS,0.107674186174217,0.197897065743551,0.544091878116821,0.591850432160306,Danbulla,815,0.215348372348434,0.653187839226413,24
74,Z_MeanWS,0.0881679499458807,0.193956995791999,0.454574734908931,0.653187839226413,Danbulla,785,0.176335899891761,0.653187839226413,28
75,Z_MeanWS,0.126683713124295,0.195904080119662,0.646661943165827,0.523743883407683,Danbulla,702,0.253367426248589,0.653187839226413,27
76,Z_MeanWS,0.344779017165536,0.275743549555001,1.25036113345877,0.23963416851887,Danbulla,928,0.689558034331072,0.556886333495111,12
77,Z_MeanWS,-0.64267040603461,0.402538852791608,-1.59654254881905,0.131216085630132,Danbulla,1020,1,0.459256299705462,17
78,Z_MeanWS,-0.187542948997838,0.184423627005068,-1.01691389570537,0.318220761997206,Danbulla,724,0.375085897995676,0.556886333495111,29
79,Z_MeanWS,0.309044814380425,0.187803407407581,1.64557618334219,0.114064448743113,Danbulla,697,0.61808962876085,0.459256299705462,24
200,Z_MeanWS,0.175625221833701,0.264610950134253,0.663711088844189,0.520543226957235,Paluma,618,0.351250443667401,0.650679033696544,13
201,Z_MeanWS,0.212910860410411,0.285180076497374,0.746583923482367,0.467667873421362,Paluma,357,0.425821720820821,0.650679033696544,16
202,Z_MeanWS,0.0359838644145822,0.249486268250322,0.14423184356775,0.887373053270383,Paluma,256,0.0719677288291644,0.887373053270383,16
203,Z_MeanWS,-0.104469970897417,0.242459510830112,-0.430875945182525,0.672686117109451,Paluma,473,0.208939941794835,0.747429019010501,17
